Date,Type,Location,Reason for Stop,Dispostion,"Search
4/5/2019,Traffic Stop,170 McCormick Rd,Illegal Left turn,Warning,No,No,W,M,19,B,M
4/6/2019,Traffic Stop,Arlington Blvd at Millmont,Expired Registration,Warning,No,No,W,F,35,W,M
4/6/2019,Traffic Stop,Lee St,Defective Taillight,Warning,No,No,W,F,19,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
4/6/2019,Traffic Stop,Ivy Rd,Fail to yield ROW,Warning,No,No,W,F,41,W,M
4/6/2019,Traffic Stop,McCormick Rd,Improper U-Turn,Warning,No,No,W,M,32,W,M
4/7/2019,Traffic Stop,McCormick Rd at Alderman,Scooter with no tags,Warning,No,No,W,F,18,B,M
4/8/2019,Traffic Stop,Emmet St at Sprigg Ln,No Headlights,Warning,No,No,B,F,22,W,M
4/8/2019,Traffic Stop,Morris at Alderman,No Headlights,Warning,No,No,B,M,24,W,M
4/8/2019,Traffic Stop,McCormick at Alderman,Right turn on red,Fled scene,Plain View Search,APD took ove,B,M,unk,B,M
4/9/2019,Traffic Stop,1401 University Ave,unk,Warning,No,No,unk,unk,unk,W,M
4/9/2019,Traffic Stop,113 Maury Ave,Fail to obey sign,Warning,No,No,W,F,21,W,M
4/10/2019,Traffic Stop,100 Shamrock Rd,Expired Registration,Warning,No,No,W,F,32,W,M
4/11/2019,Traffic Stop,Rugby Rd,No Headlights,Warning,No,No,W,M,19,W,M
4/11/2019,Traffic Stop,Lambeth Commons,No turn on red,Warning,No,No,A,F,20,W,M
4/13/2019,Traffic Stop,795 Alderman Rd,Expired Registration,Warning,No,No,A,F,22,W,M
4/16/2019,Traffic Stop,McCormick Rd,No Headlights,Warning,No,No,W,F,20,B,M
4/16/2019,Traffic Stop,McCormick at Edgemont,Right turn on red,Warning,No,No,W,F,21,W,M
4/17/2019,Traffic Stop,W. Main at JPA,Drive wrong side of road,Warning,No,No,B,M,36,W,M
4/18/2019,Traffic Stop,McCormick Rd at Hereford,No Headlights,Warning,No,No,B,F,40,W,M
4/19/2019,Traffic Stop,530 McCormick Rd,Defective Equipment,Warning,No,No,W,M,48,W,M
4/19/2019,Traffic Stop,10th St NW at Roosevelt,No right on red,Warning,No,No,I,M,30,W,M
4/19/2019,Traffic Stop,University Ave at McCormick,No left turn violation,Warning,No,No,W,M,20,W,M
4/20/2019,Traffic Stop,417 Emmet St S,Expired Registration,Warning,No,No,W,M,56,W,M
4/20/2019,Traffic Stop,Ivy Rd at Cresap,No Headlights,Warning,No,No,W,M,52,W,M
4/20/2019,Traffic Stop,450 Whitehead,No right on red,Warning,No,No,H,M,52,B,M
4/21/2019,Traffic Stop,JPA,Defective Equipment,Warning,No,No,W,F,22,W,M
4/21/2019,Traffic Stop,McCormick/Alderman,No right on red,Warning,No,No,A,F,20,B,M
4/22/2019,Traffic Stop,University at Newcomb,Expired Registration,Warning,No,No,W,F,33,W,M
4/22/2019,Traffic Stop,117 11th St,Expired Inspection,Warning,No,No,W,M,21,W,M
4/22/2019,Traffic Stop,123 Emmet St,Squealing Tires,Warning,No,No,W,M,49,W,M
4/23/2019,Traffic Stop,Crispell at Lane,Fail to obey sign,Warning,No,No,W,M,40,W,M
4/23/2019,Traffic Stop,Crispell at Lane,Fail to obey sign,Warning,No,No,W,F,27,W,M
4/24/2019,Traffic Stop,Emmet at Sprigg,Passing on double line,Warning,No,No,B,M,70,W,M
4/24/2019,Traffic Stop,Alderman at Leake,Trade Dress Violation,Warning,No,No,W,M,28,W,M
4/24/2019,Traffic Stop,Treehouse at Alderman,Expired Inspection,Warning,No,No,W,M,20,B,M
4/25/2019,Traffic Stop,Hancock Dr,No Headlights,Warning,No,No,A,M,23,W,M
4/25/2019,Traffic Stop,1215 Lee St,Defective Equipment,Warning,No,No,B,M,25,W,M
4/25/2019,Traffic Stop,170 McCormick Rd,illegal left turn,Warning,No,No,W,M,70,B,M
4/26/2019,Traffic Stop,2201 Old Ivy Rd,Expired Registration,Warning,No,No,W,F,31,B,M
4/26/2019,Traffic Stop,2014 Lewis Mountain Rd,Brake light,Warning,No,No,W,F,53,W,M
4/26/2019,Traffic Stop,530 McCormick Rd,No Headlights/odor of Marijuan,Warning,Yes,No,B,F,17,W,M
4/27/2019,Traffic Stop,1935 Arlington Blvd,Fail to obey sign,Warning,No,No,W,M,61,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
4/27/2019,Traffic Stop,Millmont at Arlington,Fail to obey sign,Warning,No,No,A,M,52,W,M
4/28/2019,Traffic Stop,1400 University Ave,Improper Stopping,Warning,No,No,A,M,21,W,M
4/28/2019,Traffic Stop,University at McCormick,Defective Equipment,Warning,No,No,W,M,34,B,M
4/28/2019,Traffic Stop,McCormick Rd,No Headlights,Warning,No,No,W,F,19,W,M
5/1/2019,Traffic Stop,1500 Blk University,Improper Stopping,Warning,No,No,W,M,20,W,M
5/2/2019,Traffic Stop,JPA & Ruppel Dr,No Headlights,Warning,No,No,B,M,55,W,M
5/2/2019,Traffic Stop,10th St at W. Main,Fail to yield ROW,Warning,No,No,W,M,37,W,M
5/2/2019,Traffic Stop,11th St Garage,No Headlights,Warning,No,No,B,M,65,B,M
5/2/2019,Traffic Stop,1204 W. Main St,Unregistered moped,Warning,No,No,B,M,59,W,M
5/3/2019,Traffic Stop,160 McCormick Rd,Fail to obey sign,Warning,No,No,U,M,24,W,M
5/3/2019,Traffic Stop,McCormick at University,Fail to obey sign,Warning,No,No,W,M,15,W,M
5/3/2019,Traffic Stop,140 Emmet St,No Taillights,Warning,No,No,B,M,33,W,M
5/4/2019,Traffic Stop,McCormick/Cabell,No Headlights,Warning,No,No,W,M,19,W,M
5/4/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,W,M,70,W,M
5/4/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,W,F,26,W,M
5/4/2019,Traffic Stop,810 W. Main,No Headlights,Warning,No,No,W,M,37,B,M
5/5/2019,Traffic Stop,Hospital Dr,Expired Inspection,Warning,No,No,W,M,20,W,M
5/5/2019,Traffic Stop,W. Main St,Expired Inspection,Warning,No,No,W,F,46,W,M
5/5/2019,Traffic Stop,W. Main St,Right turn on red-prohibited,Warning,No,No,B,M,59,W,M
5/6/2019,Traffic Stop,Alderman at Thompson,No Headlights,Warning,No,No,A,M,38,W,M
5/6/2019,Traffic Stop,Rugby Rd,Fail to obey sign,Warning,No,No,W,M,74,W,F
5/7/2019,Traffic Stop,Runk Dining,Fail to obey sign,Warning,No,No,W,M,68,W,M
5/7/2019,Traffic Stop,Culbreth Garage,Expired Registration,Warning,No,No,W,F,29,W,M
5/8/2019,Traffic Stop,University at McCormick,Illegal left turn,Warning,No,No,W,M,57,W,M
5/8/2019,Traffic Stop,Stadium Rd,No Headlights,Warning,No,No,A,M,19,W,M
5/8/2019,Traffic Stop,McCormick Rd,Fail to obey sign,Warning,No,No,B,M,18,W,F
5/9/2019,Traffic Stop,214 14th St,No Headlights,Warning,No,No,W,F,19,W,M
5/10/2019,Traffic Stop,Rugby at University Cir,Defective Equipment,Warning,No,No,W,M,37,W,M
5/10/2019,Traffic Stop,Alderman at Stadium,Defective Equipment,Warning,No,No,B,M,58,W,M
5/10/2019,Traffic Stop,JPA/Monroe Ln,No Headlights,Warning,No,No,A,F,22,B,M
5/10/2019,Traffic Stop,Alderman at McCormick,Fail to obey light,Warning,No,No,W,M,20,W,M
5/10/2019,Traffic Stop,Bonnycastle at McCormick,Speeding,Warning,No,No,B,F,19,W,M
5/10/2019,Traffic Stop,123 Emmet St,No Headlights,Warning,No,No,A,M,22,W,F
5/11/2019,Traffic Stop,Roosevelt Brown at 9th St,Fail to obey sign,Warning,No,No,W,F,18,B,M
5/11/2019,Traffic Stop,JPA at Maywood,Fail to obey lane markings,Warning,No,No,A,M,33,B,M
5/11/2019,Traffic Stop,Ivy Rd at Cresap,No Headlights,Warning,No,No,W,M,63,W,M
5/12/2019,Traffic Stop,Lane Rd at Crispell,Fail to yield ROW,Warning,No,No,W,F,34,W,M
5/12/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,W,F,30,W,M
5/12/2019,Traffic Stop,Emmet St at Ivy,Fail to obey sign,Warning,No,No,W,F,21,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
5/12/2019,Traffic Stop,Emmet St at Lambeth,No Headlights,Warning,No,No,W,F,22,B,M
5/13/2019,Traffic Stop,Newcomb at McCormick,Fail to obey sign,Warning,No,No,W,M,20,W,M
5/14/2019,Traffic Stop,Cemetery Rd,Defective Equipment,Warning,No,No,A,M,54,W,M
5/14/2019,Traffic Stop,Massie at Emmet,Fail to obey sign,Warning,No,No,B,M,23,W,M
5/15/2019,Traffic Stop,999 Grove St,Fail to yield ROW,Warning,No,No,W,M,23,W,M
5/16/2019,Traffic Stop,201 Sprigg Ln,Defective Equipment,Warning,No,No,W,F,19,W,M
5/16/2019,Traffic Stop,800 W. Main St,Defective Equipment,Warning,No,No,W,M,19,W,M
5/16/2019,Traffic Stop,123 Emmet St,Defective Equipment,Warning,No,No,W,M,69,W,M
5/16/2019,Traffic Stop,190 McCormick Rd,No Headlights,Warning,No,No,A,M,28,W,M
5/16/2019,Traffic Stop,University at Culbreth,Illegal left turn,Warning,No,No,H,M,23,W,M
5/17/2019,Traffic Stop,155 Rugby Rd,Improper Stopping,Warning,No,No,B,M,30,W,M
5/17/2019,Traffic Stop,University at Madison,Illegal U-Turn,Warning,No,No,O,M,25,W,F
5/18/2019,Traffic Stop,460 Pratt Dr,Passing on double yellow,Warning,No,No,W,F,22,W,M
5/18/2019,Traffic Stop,300 14th St NW,Impeding flow of traffic,Warning,No,No,W,M,55,B,M
5/20/2019,Traffic Stop,Nash at Massie Rd,Fail to obey sign,Warning,No,No,H,M,39,W,M
5/20/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,B,F,21,W,M
5/20/2019,Traffic Stop,Rugby Rd at University,Illegal U-Turn,Warning,No,No,W,F,52,B,M
5/20/2019,Traffic Stop,Emmet St at Stadium,Expired Registration,Warning,No,No,A,F,50,W,M
5/20/2019,Traffic Stop,406 14th St,Fail to obey sign,Warning,No,No,W,F,22,W,M
5/21/2019,Traffic Stop,Ivy at Emmet,Fail to obey light,Warning,No,No,W,F,69,W,M
5/22/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,A,M,27,W,M
5/22/2019,Traffic Stop,Emmet at Ivy,Fail to obey sign,Warning,No,No,W,M,59,W,M
5/22/2019,Traffic Stop,Ivy/Thomson,Fail to obey sign,Warning,No,No,W,F,33,W,M
5/23/2019,Traffic Stop,1207 Grady Ave,Defective Equipment,Warning,No,No,W,M,26,W,M
5/23/2019,Traffic Stop,University Cir/Grady,Defective Equipment,Warning,No,No,W,M,22,W,M
5/24/2019,Traffic Stop,Ivy/Emmet,No Headlights,Warning,No,No,W,F,17,W,M
5/24/2019,Traffic Stop,Massie at Emmet,No Headlights,Warning,No,No,A,M,19,W,M
5/24/2019,Traffic Stop,Arlington at Millmont,Fail to obey sign,Warning,No,No,W,M,22,W,M
5/24/2019,Traffic Stop,918 Emmet St,Expired Inspection,Warning,No,No,W,M,21,W,M
5/24/2019,Traffic Stop,2000 Ivy,No Headlights,Warning,No,No,A,F,37,W,M
5/24/2019,Traffic Stop,Lambeth Commons,Defective Equipment,Warning,No,No,W,M,33,W,M
5/24/2019,Traffic Stop,McCormick/Garrett,Defective Equipment,Warning,No,No,W,M,32,W,M
5/24/2019,Traffic Stop,Ivy/Emmet,Improper UseTurn Lane,Warning,No,No,W,M,73,W,M
5/25/2019,Traffic Stop,Universirt Gardens,Tail light out,Warning,No,No,W,M,40,W,M
5/25/2019,Traffic Stop,Ivy/Rothery,Fail to obey sign,Warning,No,No,W,F,22,W,M
5/25/2019,Traffic Stop,140 Emmet St,Fail to obey sign,Warning,No,No,W,M,28,W,M
5/25/2019,Traffic Stop,Ivy/Emmet,Improper Display,Warning,No,No,A,M,25,W,M
5/25/2019,Traffic Stop,University at Rugby,No right on red,Warning,No,No,W,M,20,B,M
5/26/2019,Traffic Stop,64 Lambeth Commons,Defective Equipment,Warning,No,No,W,M,35,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
5/26/2019,Traffic Stop,U-Heights,Expired Tags,Warning,No,No,A,M,25,W,M
5/27/2019,Traffic Stop,123 Emmet St,Defective Equipment,Warning,No,No,W,M,28,W,M
5/27/2019,Traffic Stop,450 Copeley,Defective Equipment,Warning,No,No,W,M,20,W,M
5/28/2019,Traffic Stop,2025 Ivy Rd,Defective Equipment,Warning,No,No,B,M,39,W,M
5/28/2019,Traffic Stop,University Ave,No Headlights,Warning,No,No,W,M,22,W,M
5/28/2019,Traffic Stop,13th at W. Main St,No Headlights,Warning,No,No,W,M,19,W,M
5/31/2019,Traffic Stop,Roosevelt Brown at Lee St,Defective Equipment,Warning,No,No,B,F,18,W,M
5/31/2019,Traffic Stop,295 Massie Rd,Expired Registration,Warning,No,No,W,F,32,B,M
5/31/2019,Traffic Stop,901 Emmet St,No Headlights,Warning,No,No,A,F,20,W,F
6/1/2019,Traffic Stop,Wertland,Defective Equipment,Warning,No,No,B,F,21,W,M
6/1/2019,Traffic Stop,Maury at Price Ave,Stop sign violation,Warning,No,No,W,F,25,W,M
6/1/2019,Traffic Stop,2306 Ivy Rd,Erratic Driving,Warning,No,No,A,F,64,W,M
6/1/2019,Traffic Stop,Ivy Rd,Improper Display,Warning,No,No,W,M,20,W,M
6/1/2019,Traffic Stop,Lee St/JPA,No Headlights,Warning,No,No,W,F,54,W,F
6/1/2019,Traffic Stop,Lee St/JPA,Fail to obey light,Warning,No,No,W,M,61,W,F
6/1/2019,Traffic Stop,123 Emmet St,Illegal U-Turn,Warning,No,No,B,M,29,W,F
6/2/2019,Traffic Stop,1201 W. Main St,Failed to display tags,Warning,No,No,W,F,46,A,F
6/2/2019,Traffic Stop,123 Emmet St,Expired Reg/Defect Equ,Warning,No,No,B,M,26,W,M
6/2/2019,Traffic Stop,918 Emmet St,Improper lane Change,Warning,No,No,W,F,30,W,M
6/2/2019,Traffic Stop,Ivy at Emmet St,Right turn on red,Warning,No,No,W,M,68,B,M
6/3/2019,Traffic Stop,Lee St/Roosevelt Blvd,Expired Registration,Warning,No,No,W,M,50,W,M
6/3/2019,Traffic Stop,155 Rugby Rd,No Helmet/Improper Dis,Warning,No,No,W,M,29,W,M
6/3/2019,Traffic Stop,Massie/Faulkner,Expired Inspection,Warning,No,No,W,F,28,B,M
6/3/2019,Traffic Stop,190 McCormick Rd,Fail to obey sign,Warning,No,No,W,M,59,B,M
6/4/2019,Traffic Stop,Emmet St at Lewis Mtn,Speeding (39/25),Warning,No,No,W,M,73,W,M
6/4/2019,Traffic Stop,University at 14th St,Defective Equipment,Warning,No,No,B,F,27,,
6/6/2019,Traffic Stop,145 McCormick Rd,Speeding/odor of Marijuana,Released,Yes,No,W,M,17,W,M
6/7/2019,Traffic Stop,1309 W. Main St,Fail to obey light,Warning,No,No,W,F,20,W,M
6/7/2019,Traffic Stop,McCormick/Alderman,Fail to obey sign,Warning,No,No,W,M,44,W,M
6/7/2019,Traffic Stop,Rugby/Gordon,Fail to obey sign,Warning,No,No,W,F,24,W,F
6/7/2019,Traffic Stop,Whitehead Rd,No right on red,Warning,No,No,W,F,57,B,M
6/8/2019,Traffic Stop,100 Emmet St S,Fail to obey sign,Warning,No,No,W,F,30,W,M
6/8/2019,Traffic Stop,Alderman at Floyd,Speeding,Warning,No,No,W,F,34,W,M
6/8/2019,Traffic Stop,1826 University Ave,Improper Stopping,Warning,No,No,W,M,62,W,F
6/9/2019,Traffic Stop,Massie at Emmet St,No Headlights,Warning,No,No,W,M,35,W,M
6/9/2019,Traffic Stop,University at McCormick,No Left Turn,Warning,No,No,B,M,23,W,M
6/9/2019,Traffic Stop,Grady at Rugby,Right turn on red,Warning,No,No,W,F,62,B,M
6/10/2019,Traffic Stop,1619 University Ave,Defective Equipment,Warning,No,No,A,M,24,W,M
6/11/2019,Traffic Stop,Alderman at McCormick,Right turn on red,Warning,No,No,B,M,38,B,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
6/12/2019,Traffic Stop,McCormick/Alderman,No Headlights,Warning,No,No,W,M,21,B,M
6/12/2019,Traffic Stop,300 Massie Rd,Defective Equipment,Warning,No,No,W,M,19,B,M
6/13/2019,Traffic Stop,Alderman at George Welsh,Expired Inspection/Suspended,Warning,No,Yes,B,F,19,B,M
6/14/2019,Traffic Stop,406 14th St NW,Defective Equipment,Warning,No,No,B,M,35,W,M
6/14/2019,Traffic Stop,123 Emmet St,Defective Equipment,Warning,No,No,W,M,52,W,M
6/14/2019,Traffic Stop,1415 JPA,Defective Equipment,Warning,No,No,B,M,51,W,M
6/14/2019,Traffic Stop,University at Madison Ln,Fail to obey sign,Warning,No,No,B,F,68,B,M
6/15/2019,Traffic Stop,Lee St at JPA,No Headlights,Warning,No,No,W,F,39,W,M
6/15/2019,Traffic Stop,Ivy Rd,Expired Tags,Warning,No,No,W,F,56,,
6/15/2019,Traffic Stop,W. Main at JPA,Fail to obey light,Warning,No,No,W,F,68,B,M
6/16/2019,Traffic Stop,McCormick/Alderman,No right on red,Warning,No,No,W,M,27,B,M
6/17/2019,Traffic Stop,McCormick/Alderman,Fail to obey sign,Warning,No,No,W,F,34,W,M
6/17/2019,Traffic Stop,Rugby Rd at Bayly,No Headlights,Warning,No,No,W,M,17,W,F
6/19/2019,Traffic Stop,W. Main at University Ave,Defective Equipment,Warning,No,No,B,M,36,W,M
6/19/2019,Traffic Stop,JPA at Maywood,Defective Equipment,Warning,No,No,W,M,29,W,M
6/20/2019,Traffic Stop,Emmet St at University Gardens,Speeding,Warning,No,No,W,F,78,W,M
6/20/2019,Traffic Stop,1619 University Ave,Speeding,Warning,No,No,W,M,35,W,M
6/20/2019,Traffic Stop,McCormick/Alderman,Fail to obey sign,Warning,No,No,W,M,83,B,M
6/21/2019,Traffic Stop,University at Culbreth,Defective Equipment,Warning,No,No,W,M,19,W,M
6/21/2019,Traffic Stop,University Ave,Texting while driving,Warning,No,No,W,M,20,W,M
6/21/2019,Traffic Stop,Emmet St at McCormick,No Headlights,Warning,No,No,W,M,58,W,M
6/21/2019,Traffic Stop,Massie Rd at Arlington,Fail to obey sign,Warning,No,No,W,F,33,W,F
6/21/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,W,M,48,W,F
6/21/2019,Traffic Stop,Culbreth at University,Fail to obey sign,Warning,No,No,A,M,22,W,F
6/22/2019,Traffic Stop,Emmet St at Ivy,Fail to obey sign,Warning,No,No,W,M,60,W,M
6/22/2019,Traffic Stop,Emmet St,Defective Equipment,Warning,No,No,A,M,22,W,M
6/22/2019,Traffic Stop,Massie Rd at Arlington,Fail to obey sign,Warning,No,No,A,M,31,W,F
6/23/2019,Traffic Stop,Emmet St,No Headlights,Warning,No,No,B,F,19,W,M
6/23/2019,Traffic Stop,Emmet St,Texting while driving,Warning,No,No,W,F,19,W,M
6/23/2019,Traffic Stop,Alderman Rd,Defective Equipment,Warning,No,No,B,M,31,W,M
6/25/2019,Traffic Stop,Copeley Rd,Improper Display,Warning,No,No,W,M,42,W,M
6/26/2019,Traffic Stop,University at Rugby,No turn on red,Warning,No,No,W,M,55,W,M
6/26/2019,Traffic Stop,McCormick/Alderman,No turn on red,Warning,No,No,W,M,19,W,F
6/27/2019,Traffic Stop,Chancellor/Madison,Wrong way on one way,Warning,No,No,W,M,19,W,M
6/27/2019,Traffic Stop,102 14th St NW,Impeding Traffic,Warning,No,No,W,F,57,W,M
6/27/2019,Traffic Stop,400 Emmet St,Fail to obey sign,Warning,No,No,W,F,18,W,F
6/28/2019,Traffic Stop,University at 11th St,Defective Equipment,Warning,No,No,B,M,54,W,M
6/28/2019,Traffic Stop,University at Hospital Dr,No Headlights,Warning,No,No,W,M,24,W,M
6/29/2019,Traffic Stop,Lee St at JPA,Fail to yield ROW,Warning,No,No,B,M,32,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
6/29/2019,Traffic Stop,Millmont at Arlington,Expired Registration,Warning,No,No,W,M,21,W,M
6/29/2019,Traffic Stop,University at McCormick,Illegal left turn,Warning,No,No,W,F,20,B,M
6/30/2019,Traffic Stop,Massie Rd at Arlington,Fail to obey sign,Warning,No,No,A,M,30,W,M
6/30/2019,Traffic Stop,190 McCormick Rd,Fail to obey sign,Warning,No,No,W,F,24,W,M
6/30/2019,Traffic Stop,Emmet St at Lewis Mtn,Fail to obey sign,Warning,No,No,W,F,43,W,M
6/30/2019,Traffic Stop,McCormick/University,Fail to obey light,Warning,No,No,W,F,31,W,M
7/1/2019,Traffic Stop,204 Emmet St,Impeding Traffic,Warning,No,No,W,M,22,W,F
7/2/2019,Traffic Stop,University Ave/Hospital Dr,Fail to obey light,Warning,No,No,W,M,30,B,M
7/2/2019,Traffic Stop,Alderman/Stadium,Expired Inspection,Warning,No,No,W,M,48,B,M
7/2/2019,Traffic Stop,Lane Rd/JPA,No Moped Registration,Warning,No,No,W,M,20,B,M
7/3/2019,Traffic Stop,Ivy Rd at Copeley,No Headlights,Warning,No,No,W,F,17,W,M
7/4/2019,Traffic Stop,JPA at Lane Rd,No Headlights,Warning,No,No,W,M,56,W,M
7/5/2019,Traffic Stop,1210 Lee St,Fail to obey sign,Warning,No,No,W,F,28,B,M
7/5/2019,Traffic Stop,1400 University Ave,Expired Registration,Warning,No,No,W,M,23,W,M
7/6/2019,Traffic Stop,Alderman/Treehouse,Defective Equipment,Warning,No,No,W,F,53,W,M
7/6/2019,Traffic Stop,2212 Ivy Rd,No Headlights,Warning,No,No,W,M,31,W,F
7/6/2019,Traffic Stop,4 University Cir,Fail to obey sign,Warning,No,No,B,M,27,W,M
7/6/2019,Traffic Stop,Wertland/14th St,Fail to yield ROW,Warning,No,No,O,F,20,W,M
7/7/2019,Traffic Stop,Alderman/Twyman,No Headlights,Warning,No,No,W,F,53,W,M
7/8/2019,Traffic Stop,McCormick/Alderman,Turned right on red,Warning,No,No,W,F,58,A,F
7/10/2019,Traffic Stop,Roosevelt Brown/Grove,No Headlights,Warning,No,No,W,F,48,B,M
7/10/2019,Traffic Stop,Massie/Arlington,No Headlights,Warning,No,No,B,M,20,W,M
7/10/2019,Traffic Stop,1035 Millmont St,Expired Registration,Warning,No,No,W,M,39,B,M
7/10/2019,Traffic Stop,JPA/Shamrock,Fail to obey sign,Warning,No,No,W,F,19,W,F
7/12/2019,Traffic Stop,John St at 14th St,No Headlights,Warning,No,No,W,M,21,W,M
7/12/2019,Traffic Stop,Alderman at Treehouse,No visible registration,Warning,No,No,W,F,47,W,M
7/12/2019,Traffic Stop,102 14th St NW,No Headlights,Warning,No,No,W,M,20,W,M
7/12/2019,Traffic Stop,Ivy at Emmet,Right turn on red,Warning,No,No,B,M,54,B,M
7/13/2019,Traffic Stop,3 Elliewood Ave,Improper Stopping,Warning,No,No,W,F,34,W,M
7/14/2019,Traffic Stop,UVA Cemetary,Fail to obey sign,Warning,No,No,W,M,76,W,M
7/14/2019,Traffic Stop,Emmet at  Massie,Improper Display of blue light,Warning,No,No,W,M,29,W,M
7/14/2019,Traffic Stop,Culbreth and University,Fail to obey sign,Warning,No,No,W,M,41,B,M
7/14/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,B,M,19,B,M
7/15/2019,Traffic Stop,Lee at JPA,Expired Registration,Warning,No,No,B,M,65,W,M
7/15/2019,Traffic Stop,South Garage,Fail to obey sign,Warning,No,No,A,M,41,B,M
7/15/2019,Traffic Stop,Lane Rd/JPA,Fail to obey sign,Warning,No,No,H,F,22,B,M
7/15/2019,Traffic Stop,600 Massie rd,No Headlights,Warning,No,No,W,M,40,W,M
